,Benign,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Init Fwd Win Byts,0.0018768511714777943,0.0027864311715094245,0.0038851481593991178,0.003885777963988402,0.0028668915898158237,0.0029828813852624965,0.003587890720175721,0.0029436270123347967,0.0030115556682682267,0.0027291774927675596,0.0015840604214727913,0.006739711338935911,0.0026153069046861398,0.004226884552995214
Fwd Seg Size Min,0.007509890677674759,0.009948504940319377,0.013345940993192936,0.008658825369655374,0.015522751602238972,0.017985995100584923,0.01578105388941184,0.011283163306588326,0.010329339776403065,0.0065946488176698275,0.006426038285234689,0.031360683810271184,0.009508380394394075,0.015446540680497634
Fwd Header Len,2.089543320169096e-05,2.136053073863949e-05,2.939673220755487e-05,1.6050440820922127e-05,5.076892728088197e-05,4.440581806737324e-05,3.5101194551276864e-05,2.350113919527207e-05,3.6330610925951266e-05,1.5119240068666576e-05,1.675246405578065e-05,5.0531494880187876e-05,1.7962847665363193e-05,3.7314695908222326e-05
Dst Port,0.006079959789530428,0.004889221394771931,0.006999529425374944,0.004681343236028835,0.008506402902586854,0.014774435764383007,0.008348216654532791,0.005526037670029943,0.00570683775704691,0.0035821016266240264,0.0052718051842353345,0.016619290213298728,0.004974984096849253,0.007376563108964505
Flow Duration,0.002563461760442619,0.003682952725155152,0.005492578153740015,0.003714425978273645,0.008866545148365284,0.007933109897654013,0.011335852447146738,0.0077600634857562575,0.0033737441690846123,0.003140024912616715,0.001312505139025074,0.01933586973149824,0.004401743734452975,0.0035837154060063764
Flow IAT Max,0.0019820405448367586,0.0038263904615101598,0.005016834729732905,0.003147583692817899,0.007575805189511042,0.006287320419834835,0.007645026407064134,0.005356038709513061,0.003674540496136064,0.0020263507474683915,0.0015585006328249537,0.013086565894864044,0.0032068981122029597,0.0029789501961023242
Fwd Pkts/s,0.00020989414085310402,0.0003221204293286327,0.0004436314526113553,0.00020199865936264367,0.0005313503287682274,0.0006211391030225207,0.0003386776047846679,0.00027860073273189794,0.00026634001114861843,0.00019894889721587807,0.00016547859082182174,0.0006116956430885247,0.00019502309248946642,0.00057891317628041
Flow Pkts/s,0.0003025387236517554,0.0002826836177226639,0.00040544373711837124,0.000316423228542467,0.0005564397113859401,0.0007270004389369914,0.00047425513787921887,0.00029484083248435287,0.0004418871607800557,0.00038960915284915186,0.00028769856659124936,0.0009276728787732046,0.0003368831122834997,0.0005247401805579064
Flow IAT Mean,0.0021681055090958133,0.006419648700483971,0.007771698217940307,0.005716703008508916,0.007578844946773586,0.011383408425986057,0.007170566593446839,0.003196166208806387,0.005849676465221942,0.0019071819548801387,0.0013350471122912512,0.015910112439328893,0.005148076407982422,0.00475281243671026
Init Bwd Win Byts,0.009989508326394935,0.007554826869651941,0.01134124270167102,0.0059008004297328165,0.017093404558552287,0.027698531621161558,0.015277370986096064,0.005772716733110426,0.006925704388933291,0.004568694638411598,0.007731412842662984,0.028475728265584515,0.006335023663470105,0.02121253079314727
Fwd IAT Tot,0.0025244666785625,0.003789330021889974,0.005202858429109505,0.00431852364018315,0.01092455829640669,0.012783167259218877,0.00914982228754169,0.005877589374862758,0.005090693760094288,0.002628204582186169,0.0031610293267750984,0.018515498896583295,0.004479556612330547,0.007269324961130118
Bwd Pkts/s,0.0005419929338529327,0.00034065411808693045,0.0005937669489552843,0.0005806467123217035,0.0007611368630752391,0.0005655493865614192,0.0011902163107895794,0.000723548594966583,0.0007087200467845447,0.0005455252721837326,0.0004438668976875459,0.0015339384742390793,0.000421950726753749,0.0009387897775556797
Tot Fwd Pkts,1.2699091827066814e-05,1.3537715143617501e-05,1.901672128842795e-05,1.0128504878816606e-05,4.3117009684645366e-05,4.7103041389874905e-05,2.3151204293646086e-05,9.816543510693156e-06,2.0390320784120658e-05,1.3187022624664867e-05,8.990516640944683e-06,4.9653765316862686e-05,1.6406490508177964e-05,2.6414061311973668e-05
Flow IAT Min,0.002099225970011806,0.004943615239210811,0.006059947545581549,0.005467291878011522,0.006465743161326094,0.008850144514572387,0.0067682544717393225,0.002321241444959933,0.003719316934231764,0.0014893182538025147,0.0012994186727204166,0.013311537475710924,0.0037199684721696533,0.0028799353243525684
TotLen Fwd Pkts,2.5856512761130157e-05,2.9552546433517078e-05,4.046535621034594e-05,3.673395093872177e-05,9.251403451432124e-05,8.483024578838113e-05,4.8661302859553205e-05,2.8953982464746404e-05,4.617349813141093e-05,2.2362259600810487e-05,2.0621080863418403e-05,9.385564534155213e-05,2.635116236646559e-05,4.678688424023185e-05
Fwd IAT Max,0.002204811240630912,0.006001119469597264,0.007597256010807916,0.004039919700330829,0.005640965440830171,0.009791903750793321,0.007541804454249572,0.003974174127500554,0.004846593488047791,0.003020625192373807,0.0016160156208964616,0.015203287894042312,0.005332909664203367,0.006155597444276335
Fwd IAT Mean,0.0019112518301608022,0.003599106517137475,0.0042645956066406695,0.005224468387822429,0.0034940739996946746,0.006259925220896706,0.004822121679861532,0.0022793601747870358,0.0030318156690490095,0.0015573553239139047,0.0011286960023352125,0.008093309825839865,0.0020946234015584214,0.0035229651729267674
Fwd Act Data Pkts,5.252293266975904e-06,4.937673174679593e-06,7.252471104380897e-06,4.307564803121356e-06,2.3236727646901177e-05,2.5279489641344797e-05,5.88886786931264e-06,4.113119178959597e-06,1.0136129564256744e-05,6.085262950047938e-06,3.670432592008654e-06,1.3806695166689978e-05,5.736709398728942e-06,1.7634076612633505e-05
Fwd IAT Min,0.0027034970430431897,0.0071176901959933035,0.009200346030332544,0.00592861668592622,0.008232303757253194,0.010771103844585883,0.010661010621119422,0.004682575622477021,0.0048252741368631545,0.0021995409307284304,0.0018335136755000994,0.02043571367977996,0.005392761850132949,0.004479422018047368
Flow IAT Std,0.000988744653423892,0.0011653087700445514,0.0016708341538368018,0.0015837139938372886,0.002331749415957769,0.004991554918999787,0.0017341379862332456,0.0013474639210735427,0.0011979553672039457,0.0015953966728599449,0.0013332650697116728,0.0033380371436816337,0.001435666026052391,0.0024887900521583634
Fwd Pkt Len Std,0.007327477254338148,0.00493251448672198,0.007346598826988943,0.004359384786812763,0.005028613677073578,0.009808274065646442,0.01090267864836445,0.00871666274242741,0.0038974874651953816,0.006848319730251212,0.00855908416017877,0.014650532892468168,0.004261622622206742,0.010217868233240663
Bwd IAT Min,0.00035753240823584593,0.0005193911177980396,0.000762844674957852,0.0003796259607116813,0.0005355147483911339,0.0006377094012070133,0.0006251234118721351,0.00038006545288297517,0.0002550611160914662,0.00042117992775426896,0.00023959973913200016,0.0012711183602813142,0.00040950944164915525,0.0007170025972318125
Bwd Header Len,4.322945207362639e-05,4.944459380041178e-05,6.779128315171836e-05,6.954497651431153e-05,9.515583498873086e-05,0.00013879797097040477,8.068323733865418e-05,4.641571597904405e-05,8.086624027927695e-05,7.660050404510605e-05,5.5852647155154626e-05,0.00014514276832619898,6.943879461382212e-05,9.393038419450386e-05
Bwd IAT Mean,0.000592541692248486,0.0008500835408313904,0.001217540468977529,0.0013153202089447424,0.0012707822532956974,0.00147764370144363,0.0013431435676253478,0.0007467627170593398,0.0005054238426232113,0.0012528888814153608,0.0005737115948276084,0.0022352944858032766,0.0007134074647891967,0.001742228310548358
Pkt Len Max,0.003036021977917392,0.002901342378257035,0.004170600572535536,0.0026924435137063623,0.0036868386505146894,0.004801015594538082,0.0036323044518147005,0.0025117403715342844,0.0020917424170609957,0.002585305826949234,0.0038639621749397405,0.006631459758584843,0.0021159799794561594,0.005374236274612098
Bwd Pkt Len Max,0.00459014062884574,0.004750008542895834,0.006571065555522897,0.0033888024059884328,0.0070054726602595385,0.007218065657914881,0.006803893088612031,0.005896547983122616,0.00493488171111148,0.005766126077469758,0.0034087781480740564,0.014361636143699969,0.004528330674184242,0.006892981211358537
Fwd Pkt Len Max,0.003218900715927503,0.009658655797078286,0.01315788622160019,0.0029299090880365018,0.005401442580876617,0.007876837280197346,0.008521641971638322,0.005803789762430327,0.005076901675913477,0.0032472440674184656,0.002923646682354998,0.014973933403832523,0.005678459291956534,0.02075747553780661
Bwd Pkt Len Std,0.0038410819618744235,0.006009985230299356,0.008194007225127486,0.004154616221959747,0.008316305307631179,0.01378055026368703,0.011597583453806319,0.005217877185050814,0.004670431680625858,0.003983686366803832,0.002732941116489696,0.019791541346754475,0.005591913293809176,0.005057757525964527
Fwd IAT Std,0.0007368255952730717,0.0009908780830692895,0.0014087486993271299,0.001007210277643081,0.0023822856626210596,0.002884411138596448,0.0015748848875373977,0.00108596809748301,0.0012343890847171806,0.0007818820809772063,0.001050291451666237,0.0030141480797565524,0.0008644127733170176,0.002768539900941441
Bwd IAT Max,0.0009915298732446364,0.002445743257423045,0.003246656347858294,0.001035351358660479,0.0015401813705978563,0.002589909542104555,0.0019250234337974356,0.0009331021729510539,0.0012983598572331944,0.0017987417279141308,0.0007771004587181558,0.0044970047234828316,0.0018951768691024319,0.002317447709706045
Pkt Len Std,0.0027400582381882184,0.0024739514622746624,0.003322286335529865,0.0038263028827057307,0.00612477461146187,0.006846782438743114,0.0072078156021633715,0.005538438701899801,0.0019264848609377664,0.005882651278001283,0.0017410611192234973,0.010642530850557236,0.003637471159422573,0.003501174693797454
Pkt Len Var,0.0004575920625074311,0.0010538504761232125,0.0015538054455893876,0.000623362628487827,0.0009891002622754714,0.0012854532018191007,0.0008607920358682808,0.0005044092337969115,0.000576583567207631,0.000978093249328798,0.0003749673417249704,0.0018628204940845776,0.0007763963293263745,0.001589756751068331
Fwd Pkt Len Mean,0.005900388026215607,0.007772050642718664,0.010316196909674833,0.004939781961490459,0.014939346640628886,0.022870732865325698,0.010605048299821026,0.005952184203658,0.009928887312300879,0.007652011729166845,0.004919601993772858,0.023573796052154403,0.009534466333045765,0.008789355012117485
Tot Bwd Pkts,5.2730689535853605e-05,6.334754691796242e-05,8.756353191386612e-05,3.916737910827659e-05,7.022516077264475e-05,0.00010522149275902346,6.000928333449686e-05,4.109048976653313e-05,4.1926788843398106e-05,3.119718084245727e-05,5.179902933933868e-05,0.00012052015765877042,4.0072418117785395e-05,7.914647270688369e-05
Bwd Pkt Len Mean,0.0025653400156333737,0.004304482469179742,0.005774777418484962,0.0026932165120289566,0.003993919216060617,0.0055188412347639375,0.0045334938543189155,0.002513307410782461,0.0024630251527303967,0.002245854868251399,0.002364837554093108,0.008280744120594841,0.002585552361128426,0.006242487289468197
TRE_TimeGap,5.521629189955441e-10,6.216758603608432e-10,8.316559177977617e-10,6.271528446545141e-10,1.0579869361068505e-09,1.5602947331167406e-09,9.057123936514736e-10,4.637221161070074e-10,6.054050355401291e-10,8.084634634755919e-10,3.8339351767797206e-10,1.6598679407843441e-09,6.877383349937054e-10,7.368508756560138e-10
TRE_LogFlowDurationChange,0.002044234974769475,0.0029240895672450955,0.004089351481851984,0.002532805658061642,0.0037892097448249547,0.006445505287494252,0.00392775012127306,0.002912643005531969,0.0023100472704671565,0.001977670289518399,0.0027086635694840784,0.006976964740641542,0.002065316286581899,0.005539326751081059
TRE_LogFlowPktsChange,0.0021287001840307237,0.0030215062054071,0.004084277107537196,0.0018314893315036517,0.0033604546234849647,0.004128449342726878,0.00323978089576037,0.002411742199627297,0.0022149133273491684,0.0019631813273139056,0.001481781330722145,0.006223227707130948,0.0019368307809028034,0.004227116387392584
TRE_LogFlowBytsChange,0.004961811987155935,0.007737563989932061,0.011041582402525948,0.004130466158185632,0.008782027070913209,0.01325665445946372,0.011298732303755766,0.005340771328718314,0.004871834056943543,0.005752463977535289,0.002860741522195758,0.021162611733034457,0.006867149204830442,0.007021831918758067
TRE_RollMeanFlowDuration,0.0007991720186349258,0.0007089358161756965,0.0009680175456189365,0.000753905082100236,0.0020364707400079905,0.003251371874952473,0.0016262660380667298,0.0007501561275684569,0.0009203454100780913,0.0006095986250409347,0.0006760693060041075,0.0024093053245469683,0.000685107579617029,0.0022800730649475643
TRE_RollStdFlowDuration,0.0013873231236656565,0.002573260696977448,0.0032087168446858112,0.0037316596572652383,0.0019852598010935197,0.003350804476004593,0.001701912421109817,0.0012866701529341109,0.001936112606432128,0.002628658403808894,0.0010443744329002034,0.0029137358680993057,0.0009770148600657673,0.004782303771529437
TRE_RollMeanFlowPkts,0.0005998975577829864,0.0006497470217051995,0.0010234376439554956,0.0006467846795047664,0.0009059953314185596,0.0008779502017943131,0.0008511363009538521,0.0004880345813167919,0.0006465243785502516,0.0005624850042529727,0.0005739462311938389,0.0016128648341002174,0.0005542231436285046,0.0011633442968122917
TRE_RollStdFlowPkts,0.000504155098742593,0.000700701265495137,0.0009793754236892404,0.0008407694929178528,0.0011426165732077607,0.0012830507514355683,0.0010746913226588237,0.0009075923653773637,0.0009046804735313204,0.0005230606717411101,0.00096203534170314,0.0022342588002258914,0.0008096174293697002,0.0008281624625318281
