Feature,Importance,Feature Type
Fwd Seg Size Min,0.012835839831724078,Base
Init Bwd Win Byts,0.012562678344184343,Base
Fwd Pkt Len Mean,0.01054956057014938,Base
TRE_LogFlowBytsChange,0.00822044586528201,HTRE
Fwd Pkt Len Max,0.0078019088626476935,Base
Fwd Pkt Len Std,0.007632651399422479,Base
Dst Port,0.00738119491601839,Base
Bwd Pkt Len Std,0.007352877012848861,Base
Fwd IAT Min,0.007033097863698772,Base
Fwd IAT Tot,0.006836758866205343,Base
Flow Duration,0.006178328049229833,Base
Flow IAT Mean,0.006164860601961197,Base
Bwd Pkt Len Max,0.006151195034932859,Base
Fwd IAT Max,0.005926213107041471,Base
Flow IAT Min,0.004956782811314377,Base
Flow IAT Max,0.004812060445315678,Base
Pkt Len Std,0.004672270302493319,Base
Bwd Pkt Len Mean,0.004005705676965663,Base
Fwd IAT Mean,0.0036631192009017512,Base
TRE_LogFlowDurationChange,0.0035888270534876142,HTRE
Pkt Len Max,0.003578213853030084,Base
Init Fwd Win Byts,0.003265871110934959,Base
TRE_LogFlowPktsChange,0.0030181036250635524,HTRE
TRE_RollStdFlowDuration,0.002393414794040852,HTRE
Bwd IAT Max,0.0019493806216281527,Base
Flow IAT Std,0.0019430441532196291,Base
Fwd IAT Std,0.0015560625580661527,Base
TRE_RollMeanFlowDuration,0.001319628182382867,HTRE
Bwd IAT Mean,0.001131198052173799,Base
TRE_RollStdFlowPkts,0.0009781976766162384,HTRE
Pkt Len Var,0.0009633559342291639,Base
TRE_RollMeanFlowPkts,0.000796883657640718,HTRE
Bwd Pkts/s,0.0007064502188438571,Base
Bwd IAT Min,0.0005365198827283361,Base
Flow Pkts/s,0.0004477226056826305,Base
Fwd Pkts/s,0.0003545579901791261,Base
Bwd Header Len,7.949245738792605e-05,Base
Tot Bwd Pkts,6.314411582980654e-05,Base
TotLen Fwd Pkts,4.597989017961475e-05,Base
Fwd Header Len,2.9677969254841668e-05,Base
Tot Fwd Pkts,2.240085780025233e-05,Base
Fwd Act Data Pkts,9.809822355002978e-06,Base
TRE_TimeGap,8.215773492084626e-10,HTRE
