,Benign,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,224755,2845,0,3,0,6,3,0,0,0,0,21184,0,2
Brute Force -Web,3,4,0,0,0,0,0,0,0,0,0,1,0,0
Brute Force -XSS,3,2,0,0,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,0,12836,0,0,0,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,27,0,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,152,0,0,0,0,10636,6,0,0,0,0,0,0,0
DoS attacks-GoldenEye,1,0,0,0,0,0,770,1,0,0,0,0,0,0
DoS attacks-Hulk,1,0,0,0,0,0,3,8638,0,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,2616,0,0,0,0,0
DoS attacks-Slowloris,21,1,0,1,0,0,38,16,0,118,1,0,0,1
FTP-BruteForce,4,0,0,0,0,0,0,0,15,0,3591,1,0,1
Infilteration,1407,60,0,0,0,0,0,0,0,0,0,1570,0,0
SQL Injection,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,1,0,0,0,0,0,0,0,0,0,0,1,0,3510
