,Benign,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,0.903363371088192,0.01143497938086319,0.0,1.2057974742562239e-05,0.0,2.4115949485124478e-05,1.2057974742562239e-05,0.0,0.0,0.0,0.0,0.08514537898214616,0.0,8.038649828374826e-06
Brute Force -Web,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
Brute Force -XSS,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOS attack-HOIC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOS attack-LOIC-UDP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDoS attacks-LOIC-HTTP,0.014081897350379841,0.0,0.0,0.0,0.0,0.9853622382805263,0.0005558643690939411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS attacks-GoldenEye,0.0012953367875647669,0.0,0.0,0.0,0.0,0.0,0.9974093264248705,0.0012953367875647669,0.0,0.0,0.0,0.0,0.0,0.0
DoS attacks-Hulk,0.00011571395510298542,0.0,0.0,0.0,0.0,0.0,0.00034714186530895625,0.999537144179588,0.0,0.0,0.0,0.0,0.0,0.0
DoS attacks-SlowHTTPTest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DoS attacks-Slowloris,0.1065989847715736,0.005076142131979695,0.0,0.005076142131979695,0.0,0.0,0.19289340101522842,0.08121827411167512,0.0,0.5989847715736041,0.005076142131979695,0.0,0.0,0.005076142131979695
FTP-BruteForce,0.0011074197120708748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004152823920265781,0.0,0.9941860465116279,0.0002768549280177187,0.0,0.0002768549280177187
Infilteration,0.4632861376358248,0.01975633849193283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5169575238722424,0.0,0.0
SQL Injection,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSH-Bruteforce,0.0002847380410022779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002847380410022779,0.0,0.9994305239179955
