,precision,recall,f1-score,support
DDOS attack-LOIC-UDP,1.0,1.0,1.0,27.0
DDOS attack-HOIC,0.9996884735202493,1.0,0.999844212494158,12836.0
SSH-Bruteforce,0.9988616960728515,0.9994305239179955,0.9991460290350128,3512.0
DoS attacks-Hulk,0.9980358174465627,0.999537144179588,0.9987859166329421,8642.0
DoS attacks-SlowHTTPTest,0.9942987457240593,1.0,0.9971412235563178,2616.0
FTP-BruteForce,0.9997216035634744,0.9941860465116279,0.9969461410327596,3612.0
DDoS attacks-LOIC-HTTP,0.9994361962037211,0.9853622382805263,0.9923493189027803,10794.0
DoS attacks-GoldenEye,0.9390243902439024,0.9974093264248705,0.9673366834170855,772.0
Benign,0.9929577775912418,0.903363371088192,0.9460440663626204,248798.0
DoS attacks-Slowloris,1.0,0.5989847715736041,0.7492063492063492,197.0
Infilteration,0.06898976139209913,0.5169575238722424,0.1217337365278747,3037.0
Brute Force -Web,0.0013736263736263737,0.5,0.0027397260273972603,8.0
Brute Force -XSS,0.0,0.0,0.0,5.0
SQL Injection,0.0,0.0,0.0,1.0
